absolute_path,relative_path,filename,duration_seconds
C:\Users\User\Desktop\llab2pp\sounds\2658-preview.mp3,2658-preview.mp3,2658-preview.mp3,61
C:\Users\User\Desktop\llab2pp\sounds\2393-preview.mp3,2393-preview.mp3,2393-preview.mp3,15
C:\Users\User\Desktop\llab2pp\sounds\2393-preview.mp3,2393-preview.mp3,2393-preview.mp3,15
C:\Users\User\Desktop\llab2pp\sounds\1185-preview.mp3,1185-preview.mp3,1185-preview.mp3,38
C:\Users\User\Desktop\llab2pp\sounds\2415-preview.mp3,2415-preview.mp3,2415-preview.mp3,49
C:\Users\User\Desktop\llab2pp\sounds\1267-preview.mp3,1267-preview.mp3,1267-preview.mp3,31
C:\Users\User\Desktop\llab2pp\sounds\2393-preview.mp3,2393-preview.mp3,2393-preview.mp3,15
C:\Users\User\Desktop\llab2pp\sounds\2456-preview.mp3,2456-preview.mp3,2456-preview.mp3,121
C:\Users\User\Desktop\llab2pp\sounds\3093-preview.mp3,3093-preview.mp3,3093-preview.mp3,28
C:\Users\User\Desktop\llab2pp\sounds\1185-preview.mp3,1185-preview.mp3,1185-preview.mp3,38
C:\Users\User\Desktop\llab2pp\sounds\2393-preview.mp3,2393-preview.mp3,2393-preview.mp3,15
C:\Users\User\Desktop\llab2pp\sounds\679-preview.mp3,679-preview.mp3,679-preview.mp3,13
C:\Users\User\Desktop\llab2pp\sounds\2390-preview.mp3,2390-preview.mp3,2390-preview.mp3,29
C:\Users\User\Desktop\llab2pp\sounds\2443-preview.mp3,2443-preview.mp3,2443-preview.mp3,88
C:\Users\User\Desktop\llab2pp\sounds\2513-preview.mp3,2513-preview.mp3,2513-preview.mp3,13
C:\Users\User\Desktop\llab2pp\sounds\1208-preview.mp3,1208-preview.mp3,1208-preview.mp3,77
C:\Users\User\Desktop\llab2pp\sounds\2393-preview.mp3,2393-preview.mp3,2393-preview.mp3,15
C:\Users\User\Desktop\llab2pp\sounds\1185-preview.mp3,1185-preview.mp3,1185-preview.mp3,38
C:\Users\User\Desktop\llab2pp\sounds\1059-preview.mp3,1059-preview.mp3,1059-preview.mp3,11
C:\Users\User\Desktop\llab2pp\sounds\1386-preview.mp3,1386-preview.mp3,1386-preview.mp3,26
C:\Users\User\Desktop\llab2pp\sounds\2744-preview.mp3,2744-preview.mp3,2744-preview.mp3,54
C:\Users\User\Desktop\llab2pp\sounds\1386-preview.mp3,1386-preview.mp3,1386-preview.mp3,26
C:\Users\User\Desktop\llab2pp\sounds\2566-preview.mp3,2566-preview.mp3,2566-preview.mp3,25
C:\Users\User\Desktop\llab2pp\sounds\1386-preview.mp3,1386-preview.mp3,1386-preview.mp3,26
C:\Users\User\Desktop\llab2pp\sounds\1386-preview.mp3,1386-preview.mp3,1386-preview.mp3,26
C:\Users\User\Desktop\llab2pp\sounds\39-preview.mp3,39-preview.mp3,39-preview.mp3,26
C:\Users\User\Desktop\llab2pp\sounds\39-preview.mp3,39-preview.mp3,39-preview.mp3,26
